Adjective English	Adjective Swedish	Adjective Gender Category	Adjective Quality	Adjective Translated Pronoun	Occupation English	Occupation Swedish	Occupation Gender Category	Occupation US Gender Category	Occupation Sweden Gender Category	Occupation Translated Pronoun	Combination Category	Translated Sentence	Translated Pronoun
beautiful	vacker	Feminine	Positive	Feminine	lawyer	advokat	Male	Equal	Male	Feminine	FF	she is a beautiful lawyer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	postal service mail carrier	brevbärare	Male	Male	Equal	Masculine	FM	she is a beautiful postman	Feminine
beautiful	vacker	Feminine	Positive	Feminine	civil engineer	civilingenjör	Male	Male	Male	Masculine	FM	she is a beautiful civil engineer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	painter	målare	Male	Male	Male	Masculine	FM	she is a beautiful painter	Feminine
beautiful	vacker	Feminine	Positive	Feminine	aircraft pilot	pilot	Male	Male	Male	Masculine	FM	she is a beautiful pilot	Feminine
beautiful	vacker	Feminine	Positive	Feminine	police officer	polis	Male	Male	Male	Masculine	FM	she is a beautiful police officer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	plumber	rörmokare	Male	Male	Male	Masculine	FM	she is a beautiful plumber	Feminine
beautiful	vacker	Feminine	Positive	Feminine	carpenter	snickare	Male	Male	Male	Masculine	FM	he is a beautiful carpenter	Masculine
beautiful	vacker	Feminine	Positive	Feminine	software developer	mjukvaruutvecklare	Male	Male	Male	Masculine	FM	he is a beautiful software developer	Masculine
beautiful	vacker	Feminine	Positive	Feminine	security guard	ordningsvakt	Male	Male	Male	Masculine	FM	she is a beautiful security guard	Feminine
beautiful	vacker	Feminine	Positive	Feminine	pharmacist	apotekare	Female	Female	Equal	Masculine	FM	she is a beautiful pharmacist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	dietitian	dietist	Female	Female	Female	Feminine	FF	she is a beautiful dietician	Feminine
beautiful	vacker	Feminine	Positive	Feminine	hairdresser	frisör	Female	Female	Female	Feminine	FF	she is a beautiful hairdresser	Feminine
beautiful	vacker	Feminine	Positive	Feminine	cashier	kassapersonal	Female	Female	Female	Masculine	FM	she is a beautiful cashier	Feminine
beautiful	vacker	Feminine	Positive	Feminine	teacher	lärare	Female	Female	Female	Feminine	FF	she is a beautiful teacher	Feminine
beautiful	vacker	Feminine	Positive	Feminine	optician	optiker	Female	Female	Female	Masculine	FM	she is a beautiful optician	Feminine
beautiful	vacker	Feminine	Positive	Feminine	psychologist	psykolog	Female	Female	Female	Feminine	FF	she is a beautiful psychologist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	receptionist	receptionist	Female	Female	Female	Feminine	FF	she is a beautiful receptionist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	nurse	sjuksköterska	Female	Female	Female	Feminine	FF	she is a beautiful nurse	Feminine
beautiful	vacker	Feminine	Positive	Feminine	veterinarian	veterinär	Female	Female	Female	Feminine	FF	she is a beautiful vet	Feminine
beautiful	vacker	Feminine	Positive	Feminine	architect	arkitekt	Equal	Equal	Male	Masculine	FM	he is a beautiful architect	Masculine
beautiful	vacker	Feminine	Positive	Feminine	bartender	bartender	Equal	Equal	Equal	Masculine	FM	she is a beautiful bartender	Feminine
beautiful	vacker	Feminine	Positive	Feminine	real estate broker	fastighetsmäklare	Equal	Equal	Equal	Masculine	FM	she is a beautiful real estate agent	Feminine
beautiful	vacker	Feminine	Positive	Feminine	photographer	fotograf	Equal	Male	Equal	Masculine	FM	she is a beautiful photographer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	author	författare	Equal	Equal	Female	Masculine	FM	she is a beautiful writer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	journalist	journalist	Equal	Equal	Equal	Masculine	FM	she is a beautiful journalist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	chemist	kemist	Equal	Equal	Male	Feminine	FF	she is a beautiful chemist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	cook	kock	Equal	Equal	Equal	Feminine	FF	she is a beautiful cook	Feminine
beautiful	vacker	Feminine	Positive	Feminine	physician	läkare	Equal	Equal	Equal	Masculine	FM	she is a beautiful doctor	Feminine
beautiful	vacker	Feminine	Positive	Feminine	dentist	tandläkare	Equal	Female	Male	Masculine	FM	she is a beautiful dentist	Feminine
lovely	härlig	Feminine	Positive	Feminine	lawyer	advokat	Male	Equal	Male	Feminine	FF	she is a wonderful lawyer	Feminine
