First Adjective English	First Adjective Swedish	First Adjective Gender Category	First Adjective Quality	First Adjective Translated Pronoun	Second Adjective English	Second Adjective Swedish	Second Adjective Gender Category	Second Adjective Quality	Second Adjective Translated Pronoun	Combination Category	Both Adjectives Translated Sentence	Both Adjectives Translated Pronoun
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	FF	she is beautiful and lovely	Feminine
beautiful	vacker	Feminine	Positive	Feminine	chaste	kysk	Feminine	Positive	Feminine	FF	she is beautiful and chaste	Feminine
beautiful	vacker	Feminine	Positive	Feminine	gorgeous	skitsnygg	Feminine	Positive	Feminine	FF	she is beautiful and gorgeous	Feminine
beautiful	vacker	Feminine	Positive	Feminine	fertile	fertil	Feminine	Positive	Feminine	FF	she is beautiful and fertile	Feminine
beautiful	vacker	Feminine	Positive	Feminine	beauteous	skön	Feminine	Positive	Feminine	FF	she is beautiful and beautiful	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sexy	sexig	Feminine	Positive	Feminine	FF	she is beautiful and sexy	Feminine
beautiful	vacker	Feminine	Positive	Feminine	classy	stilfull	Feminine	Positive	Feminine	FF	she is beautiful and stylish	Feminine
beautiful	vacker	Feminine	Positive	Feminine	exquisite	utsökt	Feminine	Positive	Feminine	FF	she is beautiful and exquisite	Feminine
beautiful	vacker	Feminine	Positive	Feminine	vivacious	livlig	Feminine	Positive	Feminine	FF	she is beautiful and lively	Feminine
beautiful	vacker	Feminine	Positive	Feminine	vibrant	färgstark	Feminine	Positive	Feminine	FF	she is beautiful and colorful	Feminine
beautiful	vacker	Feminine	Positive	Feminine	battered	misshandlad	Feminine	Negative	Feminine	FF	she is beautiful and abused	Feminine
beautiful	vacker	Feminine	Positive	Feminine	untreated	obehandlad	Feminine	Negative	Feminine	FF	she is beautiful and raw	Feminine
beautiful	vacker	Feminine	Positive	Feminine	barren	karg	Feminine	Negative	Feminine	FF	she is beautiful and barren	Feminine
beautiful	vacker	Feminine	Positive	Feminine	shrewish	argsint	Feminine	Negative	Feminine	FF	she is beautiful and angry	Feminine
beautiful	vacker	Feminine	Positive	Feminine	sheltered	skyddad	Feminine	Negative	Feminine	FF	she is beautiful and protected	Feminine
beautiful	vacker	Feminine	Positive	Feminine	heartbroken	hjärtekrossad	Feminine	Negative	Feminine	FF	she is beautiful and heartbroken	Feminine
beautiful	vacker	Feminine	Positive	Feminine	unmarried	ogift	Feminine	Negative	Feminine	FF	she is beautiful and unmarried	Feminine
